item_uuid,item_name,product_name,image_url
92b2f8c9-25bd-51a3-a736-fd4efb80c452,SCHWEPPES LEMONADE DIET 1.5LTR,schweppes lemonade diet 1.5ltr,https://d1ralsognjng37.cloudfront.net/54464b6b-9d5a-4fde-bf3a-0b105853a765.jpeg
92b20f12-07a1-4ddd-b052-79f7a0b45728,Maynards Bassetts Liquorice Allsorts  Sweets Bag 165g,maynards bassetts liquorice allsorts sweet bag 165g,https://tb-static.uber.com/prod/image-proc/processed_images/4f85056ef9e419ae2298d6b6a0a543f2/b4facf495c22df52f3ca635379ebe613.jpeg
92b2021d-07f3-43fa-88d4-1c0aa9a35260,Toilet Duck Citrus 750ml,toilet duck citrus 750ml,https://tb-static.uber.com/prod/image-proc/processed_images/e51592b2d98b8e6607829f4ea056d00e/859baff1d76042a45e319d1de80aec7a.jpeg
92b053f9-9042-4ad0-af6f-7128a03418b1,Heritage Salad Tomatoes 6 Pack,heritage salad tomato 6 pack,https://d1ralsognjng37.cloudfront.net/b1be7f41-6588-4ec1-bfeb-f541da54e4c8.jpeg
92ae597e-5c6a-47e3-836c-01936d1cc594,AU Vodka Black Grape 70cl,au vodka black grape 70cl,https://d1ralsognjng37.cloudfront.net/29eb72cc-7475-4944-949f-336525b11ad3.jpeg
92ae36f6-d371-5cf4-ae44-800f5a0adddc,rowntree fruit pastilles pouch 150g,rowntree fruit pastille pouch 150g,
92abf1ea-a4e1-4009-84dd-914a9d7f617c,Fresh Cream Finger Donuts,fresh cream finger donut,https://d1ralsognjng37.cloudfront.net/83457291-bde5-40b5-98d5-bd75253f6995.jpeg
92abd9c2-a78d-4bf1-99b9-486690a30a5a,Bell’s Whisky 1L,bell whisky 1l,https://d1ralsognjng37.cloudfront.net/73bcb3aa-7e0e-45e3-8888-7edcf39db5b4.jpeg
92aa1b9b-ff4a-4ada-9f9e-8d57dbaf6c5d,CO OP CHICKEN & SWEETCORN SANDWICH 165G,co op chicken sweetcorn sandwich 165g,https://d1ralsognjng37.cloudfront.net/ae148a85-5b76-462c-8284-86d3c2e8e51c.jpeg
92a455a6-a2fd-4f12-8870-082a350f318a,CO OP VINE RIPENED TOMATOES,co op vine ripened tomato,https://d1ralsognjng37.cloudfront.net/f16be4b3-0467-4693-ad7f-87500bd64001.jpeg
92a41e30-90de-43fe-af25-2d3ab218a7d8,Delicatessen Fine Eating Chicken Bites 200g,delicatessen fine eating chicken bite 200g,https://tb-static.uber.com/prod/image-proc/processed_images/76c2a9a50c696ed1fa2071e4f2c76fda/b4facf495c22df52f3ca635379ebe613.jpeg
92a3e778-821d-42d0-844f-8ebad5276f1d,Spur Tree Jamaican Crushed Red Pepper 148ml,spur tree jamaican crushed red pepper 148ml,https://tb-static.uber.com/prod/image-proc/processed_images/2f2186edb6199f42c58f8a94e4bc9ccc/b4facf495c22df52f3ca635379ebe613.jpeg
92a155b1-aa3a-4c7a-bd32-73f4a5ca27e4,Co Op Frozen Skin-On Fries 500g,co op frozen skinon fry 500g,https://d1ralsognjng37.cloudfront.net/aadb8478-7db8-45f9-b963-391ba550613a.jpeg
92a09194-f897-5ff7-b3e2-a5a32c63dbef,Tate & Lyle Fairtrade Granulated Sugar 1kg,tate lyle fairtrade granulated sugar 1kg,https://d1ralsognjng37.cloudfront.net/de6d250b-8689-4dff-b6b0-57aa7560e9c0.jpeg
929df98b-201e-4409-bb94-1142d9ef18e8,Cadbury Twirl,cadbury twirl,
929c8204-34e2-4539-8cf9-9dc81b821472,"Red Bull Energy Drink, 355ml",red bull energy drink 355ml,https://tb-static.uber.com/prod/image-proc/processed_images/20a1f5b8389a0720be5e45e0189c51f4/4218ca1d09174218364162cd0b1a8cc1.jpeg
929a4c6e-ba58-5239-a22d-22e1d0549d78,co op apple juice 1ltr 1ltr,co op apple juice 1ltr 1ltr,https://tb-static.uber.com/prod/image-proc/processed_images/343a3f059d32b935b81db55db9696a9e/859baff1d76042a45e319d1de80aec7a.jpeg
9295b3de-4ee1-51b5-a3d5-f76718a67173,Pepsi Max,pepsi max,
9290d9af-45d2-5b34-a73e-430f6a5e3dd1,Kingsmill Tasty Wholemeal Medium 800G,kingsmill tasty wholemeal medium 800g,https://d1ralsognjng37.cloudfront.net/591ab74d-3167-4b60-9603-fa4b215a2987.jpeg
928fbd02-dc1b-5555-b992-c484915bdb4b,bird bros 12 mxd fresh eggs 12pk,bird bros 12 mxd fresh egg 12pk,
928de79d-1d2f-4e26-b4c6-cab9554c6dd3,"Pepsi Max No Sugar Cola Bottle, 2l",pepsi max no sugar cola bottle 2l,https://d1ralsognjng37.cloudfront.net/a5eb6503-bbe3-45bf-8311-3a59f7878a62.jpeg
928581cc-4b4c-45c2-92b5-9815aac3d81e,Rekorderlig wild berries cider 500ml,rekorderlig wild berry cider 500ml,
9283cdbc-a01c-4c8c-a57f-1cde02d0472c,Diet Coke 1.75L,diet coke 1.75l,https://tb-static.uber.com/prod/image-proc/processed_images/9b7bc36bf91ec1da44b6a1e376ae07f5/859baff1d76042a45e319d1de80aec7a.jpeg
92835113-1bc8-46d2-86b3-251f6009ff42,monster ultra blue pm 1.25 500ml,monster ultra blue  500ml,https://tb-static.uber.com/prod/image-proc/processed_images/bbce970014035607981fc0cf5a739e6a/859baff1d76042a45e319d1de80aec7a.jpeg
927801a6-f7c2-54c3-9b99-75c82a2dd189,heinz tomato ketchup pm 2.19 460g,heinz tomato ketchup  460g,https://tb-static.uber.com/prod/image-proc/processed_images/a81bc90d2b42e9041b1fee19e5af3d4f/b4facf495c22df52f3ca635379ebe613.jpeg
9271dd9f-499b-4159-a012-be8aca4dd4e0,X20 HEAVY DUTY REFUSE SACKS,x20 heavy duty refuse sack,https://d1ralsognjng37.cloudfront.net/1b052442-8c98-4ec9-9125-8c298bb5d74b.jpeg
9270f007-0d08-4f36-a811-f0b9d5599e49,Tasty Bakery Medium Spice Bun ,tasty bakery medium spice bun,https://tb-static.uber.com/prod/image-proc/processed_images/6c34e85e72901f4025ac9e9283ee6f42/b4facf495c22df52f3ca635379ebe613.jpeg
926fb9fa-7792-41eb-af7f-bc0baa390524,Cabico Strawberry Swiss Roll,cabico strawberry swiss roll,https://tb-static.uber.com/prod/image-proc/processed_images/7d96d462233032a676ebc010e7fe00f1/859baff1d76042a45e319d1de80aec7a.jpeg
926cb544-8ee7-4527-948a-107079878423,Co-op Grated Mature Cheddar Cheese 200g,coop grated mature cheddar cheese 200g,https://d1ralsognjng37.cloudfront.net/02449848-889e-495f-9268-540bcbaeadd3.jpeg
926ca1cf-bcbd-42f8-88c2-c57ebfd5cb1b,Snickers Chocolate Bar 48g,snicker chocolate bar 48g,https://tb-static.uber.com/prod/image-proc/processed_images/0bf6378f0478c7ecba023b06ccd6617e/b4facf495c22df52f3ca635379ebe613.jpeg
926aded9-f7b5-4afc-bb3b-732c711647cb,The Famous Grouse 35cl,the famous grouse 35cl,https://d1ralsognjng37.cloudfront.net/19527af1-51ca-4138-8d2d-a10426bb954c.jpeg
9264e280-7993-526d-a334-f59ed4c95b2a,mcvities milk choc hobnobs pm 262g,mcvities milk choc hobnobs ,https://tb-static.uber.com/prod/image-proc/processed_images/a950636ed404a9438fa389eaba25a7e1/859baff1d76042a45e319d1de80aec7a.jpeg
9264b29e-c809-4f62-b2e8-f005bb089cb7,Nurishment the Original Banana Flavour 400g,nurishment the original banana flavour 400g,https://d1ralsognjng37.cloudfront.net/fe2e8ca1-5746-4653-a6f6-6eeb4c1e408b.jpeg
