item_name,product_name
 Carling Original Lager 10 x 440ml,carling original lager 10 x 440ml
 Carling Original Lager 10 x 440ml,carling original lager 10 x 440ml
 Carling Original Lager 18 x 440m,carling original lager 18 x 440m
 Carling Original Lager 18 x 440m,carling original lager 18 x 440m
 Carling Original Lager 18 x 440ml,carling original lager 18 x 440ml
 Carlsberg Export Lager Beer 4 x 500ml PMP £5.89  ,carlsberg export lager beer 4 x 500ml .89
 Carlsberg Export Lager Beer 4 x 500ml PMP £5.89  PM 4 for £5.89,carlsberg export lager beer 4 x 500ml .89 pm 4 for 5.89
 Carlsberg Lager Beer 18 x 440ml,carlsberg lager beer 18 x 440ml
 Carlsberg Lager Beer 18 x 440ml,carlsberg lager beer 18 x 440ml
 Carlton KS Original 20's,carlton k original 20
 Carlton SK Bright 20's,carlton sk bright 20
 Carters Soda Water 1L,carter soda water 1l
 Casillero del Diablo Pinot Grigio 75cl,casillero del diablo pinot grigio 75cl
 Casillero del Diablo Pinot Grigio 75cl,casillero del diablo pinot grigio 75cl
 Casillero del diablo s blance 18.7cl,casillero del diablo s blance 18.7cl
 Cat Litter Lightweight 8 Litres,cat litter lightweight 8 litre
 Cathedral City Grated Mature Cheese ,cathedral city grated mature cheese
 Cauliflower Each,cauliflower each
 Charcuti Sliced Chorizo 70g,charcuti sliced chorizo 70g
 Charlie Bigham's Fish Pie 655g,charlie bighams fish pie 655g
 Charlie Bigham's Lasagne 690g,charlie bighams lasagne 690g
 Charlie Bigham's Meatballs Al Forno 650g,charlie bighams meatball al forno 650g
 Cheerios 390g,cheerio 390g
 Cheerios Honey 370g PM £2.69,cheerio honey 370g 
 Cheetos flamin hot (American) 226g,cheetos flamin hot american 226g
 Chekov Vodka  35cl,chekov vodka 35cl
 Chesterfield KS Red 20's,chesterfield k red 20
 Chicago Town 2 Four Pepperoni 310G,chicago town 2 four pepperoni 310g
 Chopped Tomatoes PM,chopped tomato pm
 Christian Dupre Brandy PM 35cl,christian dupre brandy 
 Christian Dupre Napoléon Fine Brandy 70cl,christian dupre napolon fine brandy 70cl
 Cirio Tomato Puree 140g,cirio tomato puree 140g
