item_uuid,item_name,image_url,number_sku_sold
da9dc0a3-2924-447b-9f13-f75b62d3afba,whiskas salmon in jelly 390g,,2
21330916-2a0a-5426-bbb2-fc5f49f7060b,whiskas 7+ pouch poultry in jelly pm 3.75 12x100g,,4
25bef679-928f-500a-a7cf-4cc4b2759249,whiskas 1+ pouch poultry in jelly pm 3.75 12x100g,,1
6fb4dd68-0fba-57a7-aeda-6768ced263b4,whiskas 1+ pouch poultry in jelly pm 3.75 12x100g,,4
84a9d143-6c7c-5169-9794-d7d0ed8f5e61,whiskas 1+ pouch poultry in jelly pm 3.75 12x100g,,0
fa1f5ebd-1c77-5f90-8d83-45912a7ace48,whiskas 1+ pouch poultry in jelly pm 3.75 12x100g,,1
3519ab5e-ec20-553c-ba82-61ee831b8e1b,whiskas 1+ pouch meat in gravy pm 3.75 12x100g,https://tb-static.uber.com/prod/image-proc/processed_images/f40fdbe412ae70d71e6a43b3e11b1778/859baff1d76042a45e319d1de80aec7a.jpeg,2
6a6ee43c-7580-5618-b144-39bbef564d2e,whiskas 1+ pouch meat in gravy pm 3.75 12x100g,https://tb-static.uber.com/prod/image-proc/processed_images/f40fdbe412ae70d71e6a43b3e11b1778/859baff1d76042a45e319d1de80aec7a.jpeg,0
92bd4e3f-eb9c-5a73-b4d0-d5ec3911f369,whiskas 1+ pouch meat in gravy pm 3.75 12x100g,https://tb-static.uber.com/prod/image-proc/processed_images/f40fdbe412ae70d71e6a43b3e11b1778/859baff1d76042a45e319d1de80aec7a.jpeg,3
6da327cb-b659-598a-ad00-30e0df4faa89,whiskas 1+ pouch fish in jelly pm 3.75 12x100g,https://tb-static.uber.com/prod/image-proc/processed_images/db3bfaad6a14dfbe94368282f3010ed6/859baff1d76042a45e319d1de80aec7a.jpeg,0
9954c95b-212b-4cbc-a696-3d831a9d88c7,whiskas 1+ pouch fish in jelly pm 3.75 12x100g,https://tb-static.uber.com/prod/image-proc/processed_images/db3bfaad6a14dfbe94368282f3010ed6/859baff1d76042a45e319d1de80aec7a.jpeg,1
deebaf66-a7a0-56b2-9eff-40454a135317,whiskas 1+ pouch fish in jelly pm 3.75 12x100g,https://tb-static.uber.com/prod/image-proc/processed_images/db3bfaad6a14dfbe94368282f3010ed6/859baff1d76042a45e319d1de80aec7a.jpeg,2
4ab10b16-d0cf-574c-847e-f807b9ba2fd4,whiskas 1+ pouch fish & meat in jelly pm 3.75 12x100g,https://tb-static.uber.com/prod/image-proc/processed_images/80d884fd770138b315e21bda526f1129/859baff1d76042a45e319d1de80aec7a.jpeg,1
95be1f84-76df-5cf5-acd5-985e3d3268c0,whiskas 1+ pouch fish & meat in jelly pm 3.75 12x100g,https://tb-static.uber.com/prod/image-proc/processed_images/80d884fd770138b315e21bda526f1129/859baff1d76042a45e319d1de80aec7a.jpeg,0
bb0f1671-0ce8-5d43-9e46-fc11b883bc5d,whiskas 1+ pouch fish & meat in jelly pm 3.75 12x100g,https://tb-static.uber.com/prod/image-proc/processed_images/80d884fd770138b315e21bda526f1129/859baff1d76042a45e319d1de80aec7a.jpeg,1
c360ced3-4b0e-42fe-862e-c7bb5b850561,whiskas 1+ pouch fish & meat in jelly pm 3.75 12x100g,https://tb-static.uber.com/prod/image-proc/processed_images/80d884fd770138b315e21bda526f1129/859baff1d76042a45e319d1de80aec7a.jpeg,1
c360ced3-4b0e-42fe-862e-c7bb5b850561,whiskas 1+ pouch fish & meat in jelly pm 3.75 12x100g,,6
02d5a344-ecce-5182-8e65-3fc80682260f,whiskas 1+ complete chicken pm 1.19 340g,,3
0ad39d67-ac13-5f51-8f16-0ea5c332aaf4,whiskas 1+ complete chicken pm 1.19 340g,,1
1eebb3e2-30fb-504a-9b97-727091d861d0,whiskas 1+ complete chicken pm 1.19 340g,,4
6c762b1f-cc34-56b2-aeaf-94d7c7a58c6c,whiskas 1+ complete chicken pm 1.19 340g,,2
df1ea987-a6b7-5100-81b5-870fe8306d72,whiskas 1+ complete chicken pm 1.19 340g,,8
ae01c553-c4d7-4afe-ac32-cf5862044cb0,weetabix ready brek 450g,,1
5b7893d9-5e8c-4c52-a1ba-7f7b2084a208,weetabix minis chocolate 600g,https://tb-static.uber.com/prod/image-proc/processed_images/b42a2008e375c4b26d1ad60af51f2e57/859baff1d76042a45e319d1de80aec7a.jpeg,1
b09e7e9a-a4f3-5bca-b802-3f53f3274b91,weetabix minis chocolate 600g,,1
b09e7e9a-a4f3-5bca-b802-3f53f3274b91,weetabix minis chocolate 600g,https://tb-static.uber.com/prod/image-proc/processed_images/b42a2008e375c4b26d1ad60af51f2e57/859baff1d76042a45e319d1de80aec7a.jpeg,1
1d034b5b-0012-410e-aa74-c391fdd49041,weetabix 24's 24's,,1
350aa566-baa3-4a39-be34-62e40a615658,weetabix 24's 24's,,1
5cd4da2e-839a-5f0d-9688-253268a0b3bb,weetabix 24's 24's,,2
86fc64cf-a159-5ce5-9a57-1699ec65cc6d,weetabix 24's 24's,,1
d69c9b7a-ff4b-57d4-a206-d7280c17a0ef,weetabix 24's 24's,https://d1ralsognjng37.cloudfront.net/c13a3374-f492-420d-be2e-b89d83686d5a.jpeg,2
9f647930-37d8-56df-95f0-1725077a72c9,weetabix 12's 12's,,6
