group_id,leader,member,modify_leader,image_url,image,label,canonical_leader,brand ,name ,package,promotion
2312,vino errazuriz re merlot 750 ml chile 4267,vino errazuriz re merlot 750 ml chile 4267,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/0552799c43f06ccc78150952dcf6f259/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Errazuriz Vino Reserva Merlot Botella 750 ml,Errazuriz,Vino Reserva Merlot,Botella 750 ml,0
2313,vino fantini montepulciano bt 1.5 l italia 0217,vino fantini montepulciano bt 1.5 l italia 0217,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/e25eddffba2727977b49905cb75e513e/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Fantini Vino Montepulciano D'Abruzzo Botella 1.5 L,Fantini,Vino Montepulciano D'Abruzzo,Botella 1.5 L,0
2314,vino finca la moras malbec 750 ml 7168,vino finca la moras malbec 750 ml 7168,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/30ba736b0c08c780c3a6ed0bcca3e07e/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Finca las Moras Vino Malbec Botella 750 ml,Finca las Moras,Vino Malbec,Botella 750 ml,0
2315,vino finca la moras pinot gr 750 ml 1193,vino finca la moras pinot gr 750 ml 1193,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/9b5f454e291e2d80799bca8a8871d0da/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Finca las Moras Vino Pinot Grigio Botella 750 ml,Finca las Moras,Vino Pinot Grigio,Botella 750 ml,0
2316,vino freixenet cordn negro brut 750 ml espumantes 9090,vino freixenet cordn negro brut 750 ml espumantes 9090,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/f8cbc86552a02a6133758286af7ce357/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Freixenet Vino Cordon Negro brut espumante Botella 750 ml,Freixenet,Vino Cordon Negro brut espumante,Botella 750 ml,0
2317,vino frontera reserva sauvignon blanco 1.5 l 9006,vino frontera reserva sauvignon blanco 1.5 l 9006,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/85ec410f2f99ee1aba9a8f0b7fcf7c5f/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Frontera Vino Reserva Sauvignon Blanc Botella 1.5 L,Frontera,Vino Reserva Sauvignon Blanc,Botella 1.5 L,0
2318,vino honoro vera garnacha 750 ml espaa 8858,vino honoro vera garnacha 750 ml espaa 8858,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/cb7fcb086f15359c2dab6ddd127ff242/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Honoro Vera Vino tinto Garnacha Botella 750 ml,Honoro Vera,Vino tinto Garnacha,Botella 750 ml,0
2319,vino jp chenet ice edition 750 ml espumantes 5338,vino jp chenet ice edition 750 ml espumantes 5338,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/b3fc035cc52b26db1e69e976bfc3ad5b/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,JP Chenet Vino espumoso Ice Edition Botella 750 ml,JP Chenet,Vino espumoso Ice Edition,Botella 750 ml,0
2320,vino la celia reserva malbec cabernet fr 750 ml 7089,vino la celia reserva malbec 750 ml 7058,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/3b74a52f4b844e7fc089195260a306a9/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,FALSE,La Celia Vino Reserva Malbec Botella 750 ml,La Celia,Vino Reserva Malbec,Botella 750 ml,0
2320,vino la celia reserva malbec cabernet fr 750 ml 7089,vino la celia reserva malbec cabernet fr 750 ml 7089,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/9f10658f5f6370ea8f7c017ab5bb6179/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,La Celia Vino Reserva Malbec Cabernet Franc Botella 750 ml,La Celia,Vino Reserva Malbec Cabernet Franc,Botella 750 ml,0
