group_id,leader,member,modify_leader,image_url,Image,label,canonical_leader,brand,name,package ,promotion,Comments
22991,proteina vainilla do pinos 250ml,proteina vainilla do pinos 250ml,Yes,https://d1ralsognjng37.cloudfront.net/7d3921f7-994c-4b0f-91eb-c214be7251a1.jpeg,,TRUE,Dos Pinos Leche descremada vainilla +proteína Cartón 250 ml,Dos Pinos,Leche descremada vainilla +proteína,Cartón 250 ml,,
23001,pulmicort 0.5 mg1 ml 1 bolsa con 5 ampollas,pulmicort 0.5 mg1 ml 1 bolsa con 5 ampollas,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/7c830ecee9874179f89c21d86d492100/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Pulmicort budesonida 0.5 mg 5 unids,Pulmicort,budesonida 0.5 mg,5 unids,,Imagen no corresponde a package n el nombre
23002,pulmicort neb 2 ml solucin via oral venta unitaria,pulmicort neb 2 ml solucin via oral venta unitaria,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/81c297bc2577d8579135663b719ed90d/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Pulmicort budesonida 2 ml 1 unid,Pulmicort,budesonida 2 ml,1 unid,,
23003,pulmicort suspension nebulizador 20 ampollas 2 ml,pulmicort suspension nebulizador 20 ampollas 2 ml,Yes,,,TRUE,Pulmicort budesonida 2 ml 20 unids,Pulmicort,budesonida 2 ml,20 unids,,
23004,pulmicort suspension nebulizador sobre x5,pulmicort suspension nebulizador sobre x5,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/59b626b646ae04f6235132dbc844bfe1/859baff1d76042a45e319d1de80aec7a.jpeg,,TRUE,Pulmicort budesonida 2 ml 5 unids,Pulmicort,budesonida 2 ml,5 unids,,Imagen no corresponde a package n el nombre
23190,queque helado do pinos 100 grs,do pinos queque con helado 100g,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/d0278217a40004088f8046f83a9294f4/b4facf495c22df52f3ca635379ebe613.jpeg,,TRUE,Dos Pinos queque con helado Caja 100 g,Dos Pinos,queque con helado,Caja 100 g,,
23190,queque helado do pinos 100 grs,queque helado do pinos 100 grs,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/69317ab4e06bd1c8f6db3d931ed1ae88/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Dos Pinos queque con helado Caja 100 g,Dos Pinos,queque con helado,Caja 100 g,,
23191,queque la estacin,queque la estacin,Yes,https://d1ralsognjng37.cloudfront.net/27c7de68-27f3-4235-9bb1-9656eb2eb00d.jpeg,,TRUE,La Estación Queque 1 unid,La Estación,Queque,1 unid,,
23192,queque la estacin 1370g,queque la estacin 1370g,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/3eb1c9c4e7df025e912e7f2bd7762c44/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,La Estación Queque 1.370 kg,La Estación,Queque,1.370 kg,,
23193,queque la estacin 1370g t melocotn cero 2.5l,queque la estacin 1370g t melocotn cero 2.5l,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/9a4f43adf8d9989db639dec8498d4d10/859baff1d76042a45e319d1de80aec7a.jpeg,,TRUE,La Estación Pack queque + té melocotón zero Dos Pinos 1.370 kg + Botella 2.5 L,La Estación,Pack queque + té melocotón zero Dos Pinos,1.370 kg + Botella 2.5 L,,
23194,queque la estacin 760g,queque la estacin 760g,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/c117dffc3e2e5f930d1ee90b702087a9/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,La Estación Queque Caja 760 g,La Estación,Queque,Caja 760 g,,
23195,queque pequeo la estacin 760 gr,queque pequeo la estacin 760 gr,Yes,https://d1ralsognjng37.cloudfront.net/4eb6dd3b-28b2-4b7e-978b-3a947f5e4e4e.jpeg,,TRUE,La Estación Queque pequeño Caja 760 g,La Estación,Queque pequeño,Caja 760 g,,
