group_id,leader,member,modify_leader,image_url,image,label,canonical_leader,brand ,name ,package,promotion
39148,t verde limn zero fuze tea 2.5 l 1874,t verde limn zero fuze tea 2.5 l 1874,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/61869d217edd3c436fb89c63f7f138e7/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Tropical Té verde limón zero Botella 2.5 L ,Tropical,Té verde limón zero,Botella 2.5 L ,0
39149,t verde limn zero fuze tea 500 ml 1768,t verde limn zero fuze tea 500 ml 1768,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/a82525ac8b0f1ba4da284f9b3445fbb2/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Tropical Té verde limón zero Botella 500 ml ,Tropical,Té verde limón zero,Botella 500 ml ,0
39150,t verde manza t 25 uds 0789,t verde manza t 25 uds 0789,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/bd6e704781f44e4db9b8ca75c0ac27fa/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Manzana Té Té verde Caja 25 unids,Manzana Té,Té verde,Caja 25 unids,0
39151,t verde manzana tropical 2.5 l 3867,t verde manzana tropical 2.5 l 3867,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/91f203ac754a359804c3b8bd695ffe39/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Tropical Té verde manzana verde Botella 2.5 L ,Tropical,Té verde manzana verde,Botella 2.5 L ,0
39152,t verde manzana tropical 350 ml 9494,t verde manzana tropical 350 ml 9494,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/abc69525d3d757d0052f8e1d20e7d344/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Tropical Té verde manzana verde Botella 350 ml ,Tropical,Té verde manzana verde,Botella 350 ml ,0
39153,t verde manzana tropical 500 ml 1986,t verde manzana tropical 500 ml 1986,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/2a6cb2bfb6fbc638ca03695dbf87938a/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Tropical Té verde manzana verde Botella 500 ml,Tropical,Té verde manzana verde,Botella 500 ml,0
39154,t zero lychee y rosa fuze tea 500 ml 3175,t zero lychee y rosa fuze tea 500 ml 3175,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/36f6042170432462d274f9f82cda5d27/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Tropical Té lychee rosa zero Botella 500 ml ,Tropical,Té lychee rosa zero,Botella 500 ml ,0
39166,tableta 50 % chocolate leche coco bruno 0236,tableta 50 % chocolate leche coco bruno 0236,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/fd17c96ef9fc6fd136e5cd702da061f3/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Bruno's Chocolate 50% con leche y coco 1 unid,Bruno's,Chocolate 50% con leche y coco,1 unid,0
39167,tableta 50 % chocolate leche miel bruno 0250,tableta 50 % chocolate leche miel bruno 0250,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/1db515ecd6ebd8daaf43d78d17dae17e/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Bruno's Chocolate 50% con leche y miel 1 unid,Bruno's,Chocolate 50% con leche y miel,1 unid,0
39168,tableta 85 % chocolatenaranja bruno 0328,tableta 85 % chocolatenaranja bruno 0328,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/c9e5df51b7bbd7a218da0bc3f749bb19/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Bruno's Chocolate 85% con naranja 1 unid,Bruno's,Chocolate 85% con naranja,1 unid,0
39169,tableta chocolate almendras mm 110.6 g 9742,tableta chocolate almendras mm 110.6 g 9742,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/0bf6d8156d7d47483f51a01c62969a82/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,m&m's Tableta chocolate almendras 1 unid,m&m's,Tableta chocolate almendras,1 unid,0
39170,tableta chocolate crisp rice mm 107.7 g 9803,tableta chocolate crisp rice mm 107.7 g 9803,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/dc8af421083273378215c91694cdda62/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,m&m's Tableta chocolate crisp rice 1 unid,m&m's,Tableta chocolate crisp rice,1 unid,0
39171,tableta chocolate leche mm 113.4 g 9551,tableta chocolate leche mm 113.4 g 9551,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/9485fb920317deda7796b53a03ae81f4/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,m&m's Tableta chocolate leche 1 unid,m&m's,Tableta chocolate leche,1 unid,0
39172,tableta chocolate man mm 110.6 g 9681,tableta chocolate man mm 110.6 g 9681,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/dd3f718c4d9fda1649dd1e5ba8bb83a2/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,m&m's Tableta chocolate & maní 1 unid,m&m's,Tableta chocolate & maní,1 unid,0
39206,tajada queque arndanos bacata 0737,tajada queque arndanos bacata 0737,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/72489c6e0c71fdc90347c45ea163ddea/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Bacatá Tajada queque arándanos Bolsa 2 unids,Bacatá,Tajada queque arándanos,Bolsa 2 unids,0
39207,tajada queque naranja bacata 2 uds 0232,tajada queque naranja bacata 2 uds 0232,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/097340c5be51efae5ac32da1b34e1587/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Bacatá Tajada queque naranja Bolsa 2 unids,Bacatá,Tajada queque naranja,Bolsa 2 unids,0
39208,tajn chile en polvo con limn 142 g 0013,tajn chile en polvo con limn 142 g 0013,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/7edce9a48766e26a24dfb731fd91fad5/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Tajín  Chile limón en polvo Botella 142 g,Tajín ,Chile limón en polvo,Botella 142 g,0
39220,takis fuego 90 g 3509,takis fuego 90 g 3509,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/6deef83efedea461ef142604cdd030e8/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Takis Snack fuego Bolsa 90 g,Takis,Snack fuego,Bolsa 90 g,0
39231,takis original 90 g 3486,takis original 90 g 3486,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/7c149cc44230cf2b0b6e462bdba1634a/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Takis Snack original Bolsa 90 g,Takis,Snack original,Bolsa 90 g,0
39281,tampico citrus 500 ml 2212,tampico citrus 500 ml 2212,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/6921a0439bb5d7ba05e3f8c53abcd304/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Tampico Citrus punch Botella 500 ml ,Tampico,Citrus punch,Botella 500 ml ,0
39413,tanqueray london dry gin 375 ml agua quinada 600 ml gratis plu 14488,tanqueray london dry gin 375 ml agua quinada 600 ml gratis plu 14488,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/f9fb0cbf648aadd5179c7292315de230/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Tanqueray London Gin + Agua quinada Botella 375 ml + Botella 600 ml ,Tanqueray London,Gin + Agua quinada,Botella 375 ml + Botella 600 ml ,1
39433,taquitos queso fogoso 170 g 4796,taquitos queso fogoso 170 g 4796,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/ffdbf3ffe8428f9acb87152536e3e54d/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Taquitos Snack queso fogoso Bolsa 170 g,Taquitos,Snack queso fogoso,Bolsa 170 g,0
39596,tequila cazadores blanco 750 ml 2022,tequila cazadores blanco 750 ml 2022,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/86405081b2b80ada81400087198ce052/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Cazadores Tequila blanco Botella 750 ml ,Cazadores,Tequila blanco,Botella 750 ml ,0
39597,tequila especial cuervo 750 ml 0109,tequila especial cuervo 750 ml 0109,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/c1124c10691452d1e27e95341194bf3b/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,José Cuervo Tequila especial Botella 750 ml ,José Cuervo,Tequila especial,Botella 750 ml ,0
40184,toalla sanitarium con ala kotex esencial 10 uds 4821,toalla sanitarium con ala kotex esencial 10 uds 4821,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/ad76b82158b115379708d08ec285ad3a/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Kotex Toallas sanitarias esencial 10 unids,Kotex,Toallas sanitarias esencial,10 unids,0
40185,toalla sanitarium esencial manzanilla kotex 10 uds 5508,toalla sanitarium esencial manzanilla kotex 10 uds 5508,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/3a9bc0ab3d088a98c1319b700b38c273/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Kotex Toallas femeninas esencial manzanilla con alas 10 unids,Kotex,Toallas femeninas esencial manzanilla con alas,10 unids,0
40186,toalla sanitarium nocturna con ala kotex 12 uds 5546,toalla sanitarium nocturna con ala kotex 12 uds 5546,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/88d597b331120aa23dccce5e27b07fbc/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Kotex Toallas sanitarias nocturnas con alas 12 unids,Kotex,Toallas sanitarias nocturnas con alas,12 unids,0
