canonical_id,canonical_leader,brand,name,package,promotion,agent_verified
235,Frescoleche! Leche Sabor Fresa Caja 250 Ml,Frescoleche!,Leche Sabor Fresa,caja 250 ml,0.0,1
236,Frescoleche! Leche Sabor Vainilla Caja 250 Ml,Frescoleche!,Leche Sabor Vainilla,caja 250 ml,0.0,1
237,Gallito Frutini Chiclosos Sobre 150 G,Gallito,Frutini Chiclosos,sobre 150 g,0.0,1
238,Gallito Chocolates Guayabita Sobre 117 G,Gallito,Chocolates Guayabita,sobre 117 g,0.0,1
239,Gallito Chocolate Milán Sobre 112.8 G,Gallito,Chocolate Milán,sobre 112.8 g,0.0,1
240,Gallito Chocolate Milán Relleno Menta Sobre 192 G,Gallito,Chocolate Milán Relleno Menta,sobre 192 g,0.0,1
241,Gallito Chocolate Morenito Almendras Y Sal Marina Tableta 200 G,Gallito,Chocolate Morenito Almendras Y Sal Marina,tableta 200 g,0.0,1
242,Gallito Chocolate Morenito Tableta 100 G,Gallito,Chocolate Morenito,tableta 100 g,0.0,1
243,Gallito Chocolate Organics 70% Cacao Sin Azúcar Doypack 120 G,Gallito,Chocolate Organics 70% Cacao Sin Azúcar,doypack 120 g,0.0,1
244,Gallito Chocolate Guayabita Tableta 35 G,Gallito,Chocolate Guayabita,tableta 35 g,0.0,1
245,Gallito Chocolate Milán Menta Tableta 35 G,Gallito,Chocolate Milán Menta,tableta 35 g,0.0,1
246,Gallito Chocolate Mini Tapitas  Bolsa 49 G,Gallito,Chocolate Mini Tapitas,bolsa 49 g,0.0,1
247,Gallito Tapita Navideña Bolsa 40 G,Gallito,Tapita Navideña,bolsa 40 g,0.0,1
248,Gallitos 1 Unid,,Gallitos,1 unid,0.0,1
249,Gallitos De Plátano 1 Unid,,Gallitos De Plátano,1 unid,0.0,1
250,Gallitos Para Picar Cerdo 1 Unid,,Gallitos Para Picar Cerdo,1 unid,0.0,1
251,Gallitos Para Picar Chorizo 1 Unid,,Gallitos Para Picar Chorizo,1 unid,0.0,1
252,Gallitos Para Picar Pollo 1 Unid,,Gallitos Para Picar Pollo,1 unid,0.0,1
253,Gallitos Para Picar Res 1 Unid,,Gallitos Para Picar Res,1 unid,0.0,1
254,Gallitos Para Picar Salchichón 1 Unid,,Gallitos Para Picar Salchichón,1 unid,0.0,1
255,Gallos De Papa 5 Unids,,Gallos De Papa,5 unids,0.0,1
256,Hamburguesa Especial Queso Zarcero Y Papas Fritas 1 Unid,,Hamburguesa Especial Queso Zarcero Y Papas Fritas,1 unid,0.0,1
257,Hamburguesa Especial Tocineta Queso Zarcero Y Papas Fritas 1 Unid,,Hamburguesa Especial Tocineta Queso Zarcero Y Papas Fritas,1 unid,0.0,1
258,Harburguesa La Estación Con Papas 1 Unid,,Harburguesa La Estación Con Papas,1 unid,0.0,1
259,Dos Pinos Helado Baileys Pote 540 G,Dos Pinos,Helado Baileys,pote 540 g,0.0,1
260,Dos Pinos Helado Vainilla Caramelo Pote 1.028 Kg,Dos Pinos,Helado Vainilla Caramelo,pote 1.028 kg,0.0,1
261,Dos Pinos Helado Vainilla Caramelo Pote 499 G,Dos Pinos,Helado Vainilla Caramelo,pote 499 g,0.0,1
262,Dos Pinos Choco Snack Coco 60 G,Dos Pinos,Choco Snack Coco,60 g,0.0,1
263,Dos Pinos Helado Chocolate Almendra Pote 530 G,Dos Pinos,Helado Chocolate Almendra,pote 530 g,0.0,1
264,Dos Pinos Chocoleta Cookies And Cream 98 G,Dos Pinos,Chocoleta Cookies And Cream,98 g,0.0,1
265,Dos Pinos Chocoleta  75 G,Dos Pinos,Chocoleta,75 g,0.0,1
266,Dos Pinos Helado Churchill Pote 130 G,Dos Pinos,Helado Churchill,pote 130 g,0.0,1
267,Dos Pinos Helado Coco Pote 500 G,Dos Pinos,Helado Coco,pote 500 g,0.0,1
268,Dos Pinos Helado Vainilla Fresa Y Limón Pote 131 G,Dos Pinos,Helado Vainilla Fresa Y Limón,pote 131 g,0.0,1
269,Dos Pinos Helado Caramelo Vainilla Cono 75 G,Dos Pinos,Helado Caramelo Vainilla,cono 75 g,0.0,1
270,Coronado Helado Cajeta  Pote 500 G,Coronado,Helado Cajeta,pote 500 g,0.0,1
271,Coronado Helado Frutas Pote 500 G,Coronado,Helado Frutas,pote 500 g,0.0,1
272,Coronado Helado Natilla Con Fresa Pote 500 G,Coronado,Helado Natilla Con Fresa,pote 500 g,0.0,1
273,Dos Pinos Helado Vainilla Chips De Chocolate Pote 1.028 Kg,Dos Pinos,Helado Vainilla Chips De Chocolate,pote 1.028 kg,0.0,1
274,Dos Pinos Helado Vainilla Chips De Chocolate Pote 272 G,Dos Pinos,Helado Vainilla Chips De Chocolate,pote 272 g,0.0,1
275,Dos Pinos Helado Vainilla Chips Pote 131 G,Dos Pinos,Helado Vainilla Chips,pote 131 g,0.0,1
276,Dos Pinos Helado Vainilla Pote 131 G,Dos Pinos,Helado Vainilla,pote 131 g,0.0,1
277,Dos Pinos Helado Vainilla Fresa Limón Pote 499 G,Dos Pinos,Helado Vainilla Fresa Limón,pote 499 g,0.0,1
278,Dos Pinos Helado Vainilla Chips De Chocolate Pote 499 G,Dos Pinos,Helado Vainilla Chips De Chocolate,pote 499 g,0.0,1
279,Dos Pinos Helado Vainilla Pote 499 G,Dos Pinos,Helado Vainilla,pote 499 g,0.0,1
280,Dos Pinos Cremoleta Naranja Piña 75 G,Dos Pinos,Cremoleta Naranja Piña,75 g,0.0,1
281,Dos Pinos Helado Delactomy Vainilla Pote 550 G,Dos Pinos,Helado Delactomy Vainilla,pote 550 g,0.0,1
282,Dos Pinos Helado Deleite Caramel Fudge Pote 550 G,Dos Pinos,Helado Deleite Caramel Fudge,pote 550 g,0.0,1
283,Dos Pinos Helado Deleite Caramel Fudge Pote 565 G,Dos Pinos,Helado Deleite Caramel Fudge,pote 565 g,0.0,1
284,Dos Pinos Helado Deleite Chocobon Pote 565 G,Dos Pinos,Helado Deleite Chocobon,pote 565 g,0.0,1
285,Dos Pinos Helado Deleite Caramelo Vainilla Cono 75 G,Dos Pinos,Helado Deleite Caramelo Vainilla,cono 75 g,0.0,1
286,Dos Pinos Helado Deleite Fantasía De Higo Pote 565 G,Dos Pinos,Helado Deleite Fantasía De Higo,pote 565 g,0.0,1
287,Dos Pinos Helado Deleite Naranja Holandesa Pote 565 G,Dos Pinos,Helado Deleite Naranja Holandesa,pote 565 g,0.0,1
288,Dos Pinos Helado Deleite Pie De Limón Pote 555 G,Dos Pinos,Helado Deleite Pie De Limón,pote 555 g,0.0,1
289,Dos Pinos Helado Vainilla Chips Pote 499 G,Dos Pinos,Helado Vainilla Chips,pote 499 g,0.0,1
290,Dos Pinos Helado Vainilla Chocolate Pote 499 G,Dos Pinos,Helado Vainilla Chocolate,pote 499 g,0.0,1
291,Dos Pinos Helado Vainilla Fresa Limón 1 Unid,Dos Pinos,Helado Vainilla Fresa Limón,1 unid,0.0,1
292,Dos Pinos Helado Vainilla Fresa Limón Pote 272 G,Dos Pinos,Helado Vainilla Fresa Limón,pote 272 g,0.0,1
293,Dos Pinos Helado Guayabita Pote 540 G,Dos Pinos,Helado Guayabita,pote 540 g,0.0,1
294,Dos Pinos Helado Krunchy Pote 540 G,Dos Pinos,Helado Krunchy,pote 540 g,0.0,1
295,Dos Pinos Helado Krunchy Torta Chilena  Cono 75 G,Dos Pinos,Helado Krunchy Torta Chilena,cono 75 g,0.0,1
296,Dos Pinos Helado Sundae Caramelo Pote 130 G,Dos Pinos,Helado Sundae Caramelo,pote 130 g,0.0,1
297,Dos Pinos Helado Vainilla Pote 272 G,Dos Pinos,Helado Vainilla,pote 272 g,0.0,1
298,Dos Pinos Helado Vainilla Chips Pote 272 G,Dos Pinos,Helado Vainilla Chips,pote 272 g,0.0,1
299,Dos Pinos Helado Vainilla Chips Pote 1.028 Kg,Dos Pinos,Helado Vainilla Chips,pote 1.028 kg,0.0,1
300,Dos Pinos Helado Guayabita  Pote 530 G,Dos Pinos,Helado Guayabita,pote 530 g,0.0,1
301,Dos Pinos Helado Krunchy Cono 75 G,Dos Pinos,Helado Krunchy,cono 75 g,0.0,1
302,Dos Pinos Helado Krunchy Pote 500 G,Dos Pinos,Helado Krunchy,pote 500 g,0.0,1
303,Dos Pinos Helado Milán Menta Pote 540 G,Dos Pinos,Helado Milán Menta,pote 540 g,0.0,1
304,Dos Pinos Helado Mini Sandwich Pote 570 G,Dos Pinos,Helado Mini Sandwich,pote 570 g,0.0,1
305,Dos Pinos Helado Mini Sandwich 48 G,Dos Pinos,Helado Mini Sandwich,48 g,0.0,1
306,Dos Pinos Helado Mini Sandwich Limón 48 G,Dos Pinos,Helado Mini Sandwich Limón,48 g,0.0,1
307,Dos Pinos Mm Mio Barra 70 G,Dos Pinos,Mm Mio,barra 70 g,0.0,1
308,Dos Pinos Helado Napolitano Pote 500 G,Dos Pinos,Helado Napolitano,pote 500 g,0.0,1
309,Dos Pinos Paleta Cero Grados 76 G,Dos Pinos,Paleta Cero Grados,76 g,0.0,1
310,Dos Pinos Paleta Corazón 65 G,Dos Pinos,Paleta Corazón,65 g,0.0,1
311,Dos Pinos Paleta In Line Yogurt 50 G,Dos Pinos,Paleta In Line Yogurt,50 g,0.0,1
312,Dos Pinos Helado Piña Colada Pote 540 G,Dos Pinos,Helado Piña Colada,pote 540 g,0.0,1
313,Dos Pinos Helado Queque Vainilla Caja 100 G,Dos Pinos,Helado Queque Vainilla,caja 100 g,0.0,1
314,Dos Pinos Helado Rompope Pote 500 G,Dos Pinos,Helado Rompope,pote 500 g,0.0,1
315,Dos Pinos Helado Ron Con Pasas Pote 499 G,Dos Pinos,Helado Ron Con Pasas,pote 499 g,0.0,1
316,Dos Pinos Helado Sundae Caramelo Pote 136 G,Dos Pinos,Helado Sundae Caramelo,pote 136 g,0.0,1
317,Dos Pinos Helado Sundae Pote 110 G,Dos Pinos,Helado Sundae,pote 110 g,0.0,1
318,Dos Pinos Helado Súper Cono 1 Unid,Dos Pinos,Helado Súper Cono,1 unid,0.0,1
319,Dos Pinos Helado Trits Original Pote 100 G,Dos Pinos,Helado Trits Original,pote 100 g,0.0,1
320,Dos Pinos Helado Tapita Pote 540 G,Dos Pinos,Helado Tapita,pote 540 g,0.0,1
321,Dos Pinos Helado Trits Pote 540 G,Dos Pinos,Helado Trits,pote 540 g,0.0,1
322,Dos Pinos Pack Helado Trits 3 X 100 G,Dos Pinos,Pack Helado Trits,3 x 100 g,0.0,1
323,Dos Pinos Helado Trits Naranja Holandesa Pote 100 G,Dos Pinos,Helado Trits Naranja Holandesa,pote 100 g,0.0,1
324,Dos Pinos Helado Trits Pie De Limón Pote 100 G,Dos Pinos,Helado Trits Pie De Limón,pote 100 g,0.0,1
325,Dos Pinos Pack Helado Guayabita + Choco Risas Pote 540 G + Caja 330 G,Dos Pinos,Pack Helado Guayabita + Choco Risas,pote 540 g + caja 330 g,1.0,1
326,Cinta Azul Jamón Pechuga Pavo Light Resellable 250 G,Cinta Azul,Jamón Pechuga Pavo Light,resellable 250 g,0.0,1
