canonical_id,canonical_leader,brand,name,package,promotion,agent_verified
5996,Delphi Cooling Cucumber And Mint Tzatziki Dip 1 Unit,Delphi,Cooling Cucumber And Mint Tzatziki Dip,1 unit,,1
5997,Delphi Crunchy Coleslaw 1 Unit,Delphi,Crunchy Coleslaw,1 unit,,1
5998,Delphi Taramosalata Dip  1 Unit,Delphi,Taramosalata Dip,1 unit,,1
5999,Delphi Tzatziki Dip 1 Unit,Delphi,Tzatziki Dip,1 unit,,1
6000,Delta Iced Coffee Latte 1 Unit,Delta,Iced Coffee Latte,1 unit,,1
6001,Demerera Sugar 1 Unit,Demerera,Sugar,1 unit,,1
6002,Descaler 1 Unit,,Descaler,1 unit,,1
6003,Desperados Beer With Tequila 4 X 500 Ml,Desperados,Beer With Tequila,4 x 500 ml,,1
6004,Desperado Beer 4 X 500 Ml,Desperado,Beer,4 x 500 ml,,1
6005,Desperado Beer 650 Ml,Desperado,Beer,650 ml,,1
6006,Desperado Tzatziki Dip 1 Unit,Desperado,Beer,1 unit,,1
6007,Desperado Beer 10 Units,Desperado,Beer,10 units,,1
6008,Desperado Beer 12 X 250 Ml,Desperado,Beer,12 x 250 ml,,1
6009,Desperado Beer 3 Units,Desperado,Beer,3 units,,1
6010,Desperado Beer 3 X 330 Ml,Desperado,Beer,3 x 330 ml,,1
6011,Desperado Beer 4 X 330 Ml,Desperado,Beer,4 x 330 ml,,1
6012,Desperado Beer 330 Ml,Desperado,Beer,330 ml,,1
6013,Desperado Beer 4 Units,Desperado,Beer,4 units,,1
6014,Desperado Beer 500 Ml,Desperado,Beer,500 ml,,1
6015,Desperado Beer 660 Ml,Desperado,Beer,660 ml,,1
6016,Desperado Beer 10 X 300 Ml,Desperado,Beer,10 x 300 ml,,1
6017,Desperado Mojito Beer 1 Unit,Desperado,Mojito Beer,1 unit,,1
6018,Desperado Mojito Beer 3 X 330 Ml,Desperado,Mojito Beer,3 x 330 ml,,1
6019,Desperado Mojito Beer 4 X 500 Ml,Desperado,Mojito Beer,4 x 500 ml,,1
6020,Desperado Beer 3 X 300 Ml,Desperado,Beer,3 x 300 ml,,1
6021,Desperado Lime Beer 3 X 300 Ml,Desperado,Lime Beer,3 x 300 ml,,1
6022,Desperado Red Beer 3 Units,Desperado,Red Beer,3 units,,1
6023,Desperado Red Beer 3 X 330 Ml,Desperado,Red Beer,3 x 330 ml,,1
6024,Desperado Strawberry Margarita Tequila Lager  3 X 330 Ml,Desperado,Strawberry Margarita Tequila Lager,3 x 330 ml,,1
6025,Desperado Tequila Beer 650 Ml,Desperado,Tequila Beer,650 ml,,1
6026,Desperado Tequila Beer 3 X 330 Ml,Desperado,Tequila Beer,3 x 330 ml,,1
6027,Desperado Tequila Beer 3 Units,Desperado,Tequila Beer,3 units,,1
6028,Desperado Tequila Beer 1 Unit,Desperado,Tequila Beer,1 unit,,1
6029,Desperado Tequila Beer 330 Ml,Desperado,Tequila Beer,330 ml,,1
6030,Desperado Tequila Beer 10 Units,Desperado,Tequila Beer,10 units,,1
6031,Desperado Tequila Beer 12 X 250 Ml,Desperado,Tequila Beer,12 x 250 ml,,1
6032,Desperado Tequila Beer 4 X 500 Ml,Desperado,Tequila Beer,4 x 500 ml,,1
6033,Desperado Tequila Beer 500 Ml,Desperado,Tequila Beer,500 ml,,1
6034,Desperado Whisky Sour Tequila Lager 3 X 330 Ml,Desperado,Whisky Sour Tequila Lager,3 x 330 ml,,1
6035,Desperado Tequila Beer 10 X 330 Ml,Desperado,Tequila Beer,10 x 330 ml,,1
6036,Desperado Tequila Beer 4 X 330 Ml,Desperado,Tequila Beer,4 x 330 ml,,1
6037,Dettol 2 In 1 Antibacterial Wipes 15 Units,Dettol,2 In 1 Antibacterial Wipes,15 units,,1
6038,Dettol 2 In 1 Antiviral Wipes 1 Unit,Dettol,2 In 1 Antiviral Wipes,1 unit,,1
6039,Dettol Multipurpose Cleaning Wipes 30 Units,Dettol,Multipurpose Cleaning Wipes,30 units,,1
6040,Dettol All In One Disinfectant 1 Unit,Dettol,All In One Disinfectant,1 unit,,1
6041,Dettol All In One Disinfectant Spray 400 Ml,Dettol,All In One Disinfectant Spray,400 ml,,1
6042,Dettol Antibacterial Surpace Wipes 30 Units,Dettol,Antibacterial Surpace Wipes,30 units,,1
6043,Dettol Antibacterial Surface Wipes 30 Units,Dettol,Antibacterial Surface Wipes,30 units,,1
6044,Dettol Antibacterial Surface Wipes 72 Units,Dettol,Antibacterial Surface Wipes,72 units,,1
6045,Dettol Antibacterial Surface Cleanser 500 Ml,Dettol,Antibacterial Surface Cleanser,500 ml,,1
6046,Dettol Antibacterial Surface Cleanser 750 Ml,Dettol,Antibacterial Surface Cleanser,750 ml,,1
6047,Dettol Bar Soap 2 Units,Dettol,Bar Soap,2 units,,1
6048,Dettol Clean Fresh Multipurpose Green Apple  1 L,Dettol,Clean Fresh Multipurpose Green Apple,1 l,,1
6049,Dettol Disinfectant Liquid Lavender And Orange Oil 1 Unit,Dettol,Disinfectant Liquid Lavender And Orange Oil,1 unit,,1
6050,Dettol Liquid Antiseptic 500 Ml,Dettol,Liquid Antiseptic,500 ml,,1
6051,Dettol Hand Wash Aloe Vera And Vitamin E  250 Ml,Dettol,Hand Wash Aloe Vera And Vitamin E,250 ml,,1
6052,Dettol Liquid Original  500 Ml,Dettol,Liquid Original,500 ml,,1
6053,Dettol Mould Mildew Remover 750 Ml,Dettol,Mould Mildew Remover,750 ml,,1
6054,Dettol Multipurpose Antibacterial Citrus Cleaning Wipes 1 Unit,Dettol,Multipurpose Antibacterial Citrus Cleaning Wipes,1 unit,,1
6055,Dettol Power Pure Kitchen Spray 1 Unit,Dettol,Power Pure Kitchen Spray,1 unit,,1
6056,Dettol Soap 175 G,Dettol,Soap,175 g,,1
6057,Dettol Surface Wipes 30 Units,Dettol,Surface Wipes,30 units,,1
6058,Dettol Tru Clean Antibacterial Surface Cleaning Spray 750 Ml,Dettol,Tru Clean Antibacterial Surface Cleaning Spray,750 ml,,1
6059,Dettol Tru Clean Antibacterial Cleaning Wipes 50 Units,Dettol,Tru Clean Antibacterial Cleaning Wipes,50 units,,1
6060,Dettol Surface Cleanser Spray 750 Ml,Dettol,Surface Cleanser Spray,750 ml,,1
6061,Dettol Wet Wipes  30 Units,Dettol,Wet Wipes,30 units,,1
6062,Dexters Apple Dyna Stix 180 G,Dexters,Apple Dyna Stix,180 g,,1
6063,Dexters Blue Raspberry Dyna Stix 180 G,Dexters,Blue Raspberry Dyna Stix,180 g,,1
6064,Dexters Dyna Stix Blue Raspberry 180 G,Dexters,Blue Raspberry Dyna Stix,180 g,,1
6065,Dexters Fizzy Strawberry Tiger Tongue 180 G,Dexters,Fizzy Strawberry Tiger Tongue,180 g,,1
6066,Dexters Sour Rainbow Dyna Stix 180 G,Dexters,Sour Rainbow Dyna Stix,180 g,,1
6067,Dexters Dyna Stix Strawberry 180 G,Dexters,Strawberry Dyna Stix,180 g,,1
6068,Dexters Strawberry Dyna Stix 180 G,Dexters,Strawberry Dyna Stix,180 g,,1
6069,Dexters Strawberry Lace 180 G,Dexters,Strawberry Lace,180 g,,1
6070,Delicatessen Fine Eating Chicken And Chorizo Bite  1 Unit,Delicatessen Fine Eating,Chicken And Chorizo Bite,1 unit,,1
6071,Delicatessen Fine Eating Chicken Bit 200 G,Delicatessen Fine Eating,Chicken Bit,200 g,,1
6072,Delicatessen Fine Eating Chicken Bit 1 Unit,Delicatessen Fine Eating,Chicken Bit,1 unit,,1
6073,Delicatessen Fine Eating Cooked Ham  1 Unit,Delicatessen Fine Eating,Cooked Ham,1 unit,,1
6074,Delicatessen Fine Eating Cooked Ham  90 G,Delicatessen Fine Eating,Cooked Ham,90 g,,1
6075,Delicatessen Fine Eating Frankfurter 1 Unit,Delicatessen Fine Eating,Frankfurter,1 unit,,1
6076,Delicatessen Fine Eating Honey Roast Ham  1 Unit,Delicatessen Fine Eating,Honey Roast Ham,1 unit,,1
6077,Delicatessen Fine Eating Hot Spicy Meatball 1 Unit,Delicatessen Fine Eating,Hot Spicy Meatball,1 unit,,1
6078,Delicatessen Fine Eating Oven Roast Ham  1 Unit,Delicatessen Fine Eating,Oven Roast Ham,1 unit,,1
6079,Delicatessen Fine Eating Roast Chicken Breast 1 Unit,Delicatessen Fine Eating,Roast Chicken Breast,1 unit,,1
6080,Delicatessen Fine Eating Sliced Chorizo 1 Unit,Delicatessen Fine Eating,Sliced Chorizo,1 unit,,1
6081,Delicatessen Fine Eating Sliced German 1 Unit,Delicatessen Fine Eating,Sliced German,1 unit,,1
6082,Delicatessen Fine Eating Sliced Ghoney Roast Ham 90 G,Delicatessen Fine Eating,Sliced Ghoney Roast Ham,90 g,,1
6083,Delicatessen Fine Eating Sliced Pepper Salami 1 Unit,Delicatessen Fine Eating,Sliced Pepper Salami,1 unit,,1
6084,Delicatessen Fine Eating Sliced Pepperoni  1 Unit,Delicatessen Fine Eating,Sliced Pepperoni,1 unit,,1
6085,Delicatessen Fine Eating Sliced Smoked Ham 1 Unit,Delicatessen Fine Eating,Sliced Smoked Ham,1 unit,,1
6086,Delicatessen Fine Eating Smoked Ham  1 Unit,Delicatessen Fine Eating,Smoked Ham,1 unit,,1
6087,Delicatessen Fine Eating Tikka Bite 1 Unit,Delicatessen Fine Eating,Tikka Bite,1 unit,,1
6088,Delicatessen Fine Eating Tikka Bite 200 G,Delicatessen Fine Eating,Tikka Bite,200 g,,1
6089,Delicatessen Fine Eating Traditional Breaded Ham 1 Unit,Delicatessen Fine Eating,Traditional Breaded Ham,1 unit,,1
6090,Diablo Dark Red Wine,Diablo,Dark Red Wine,1 unit,,1
6091,Diablo Dark Red Wine 750 Ml,Diablo,Dark Red Wine,750 ml,,1
6092,Diam 1 Unit,Diam,Diam,1 unit,,1
6093,Diamond Bar Blue Razz 1 Unit,Diamond,Mist Bar Blue Razz,1 unit,,1
6094,Diamond Bar Grape Ice 1 Unit,Diamond,Mist Bar Grape Ice,1 unit,,1
